case_id,int_mode,prepost_status,sample_type,trans_id,trans_contact,trans_therm,trans_military,trans_bathroom,trans_sports_pre,trans_sports_post,trans_sports_prepost,trans_discrim,gay_id,gay_contact,gay_therm,gay_adoption,gay_marriage,gay_elect,gay_discrim,resp_partyid,resp_race,resp_age,resp_edu,weight,psu,stratum,sample_mode
142452,2,2,1,2.0,2.0,50.0,4.0,4.0,2.0,,2.0,3.0,1.0,1.0,50.0,1.0,4.0,4.0,1.0,5.0,1.0,58.0,13.0,0.361509016037359,1.0,119.0,panel_ftf_web_papi
142453,2,2,1,2.0,2.0,0.0,5.0,7.0,1.0,,1.0,3.0,1.0,1.0,100.0,1.0,,5.0,4.0,7.0,1.0,36.0,11.0,0.390859888056656,1.0,101.0,panel_ftf_web_papi
142454,2,2,1,2.0,2.0,40.0,2.0,7.0,4.0,,4.0,1.0,1.0,2.0,50.0,1.0,1.0,5.0,1.0,3.0,1.0,62.0,14.0,0.640401071635013,2.0,122.0,panel_ftf_web_papi
142455,2,1,1,,,,,7.0,1.0,,1.0,,,,,6.0,7.0,,4.0,4.0,3.0,53.0,13.0,,,,no_design
142456,2,2,1,2.0,2.0,100.0,1.0,2.0,4.0,,4.0,1.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,63.0,13.0,0.353391073892452,2.0,104.0,panel_ftf_web_papi
142457,2,2,1,2.0,2.0,,4.0,7.0,4.0,,4.0,2.0,1.0,1.0,,1.0,,4.0,1.0,7.0,1.0,47.0,9.0,0.759622856521455,1.0,117.0,panel_ftf_web_papi
142458,2,1,1,2.0,,,,4.0,2.0,,2.0,,1.0,,,2.0,,,2.0,2.0,3.0,38.0,13.0,,,,no_design
142459,2,1,1,2.0,,,,7.0,1.0,,1.0,,1.0,,,5.0,,,1.0,5.0,1.0,,,,,,no_design
142460,2,2,1,2.0,2.0,85.0,2.0,1.0,4.0,,4.0,1.0,1.0,2.0,95.0,1.0,1.0,2.0,1.0,1.0,1.0,59.0,10.0,1.43490464913163,2.0,125.0,panel_ftf_web_papi
142461,2,2,1,2.0,2.0,50.0,4.0,7.0,1.0,,1.0,4.0,1.0,2.0,50.0,6.0,,5.0,1.0,2.0,2.0,60.0,12.0,0.357187976652639,1.0,99.0,panel_ftf_web_papi
142462,2,2,1,2.0,2.0,48.0,6.0,4.0,1.0,,1.0,2.0,1.0,1.0,85.0,1.0,1.0,5.0,2.0,6.0,1.0,42.0,13.0,0.506025141314561,1.0,101.0,panel_ftf_web_papi
